outcome,match,(Intercept),MR,mental_age,MR:mental_age
X1_verbalni_pamet_a_uceni_pok1,DO,1.34 (1.22),4.42 (1.65),0.49 (0.15),-0.70 (0.20)
X1_verbalni_pamet_a_uceni_pok1,VE,6.22 (2.20),-4.46 (3.12),-0.13 (0.25),0.39 (0.36)
X1_verbalni_pamet_a_uceni_pok1,KOD,3.06 (1.05),-0.38 (1.38),0.31 (0.12),-0.13 (0.17)
X1_verbalni_pamet_a_uceni_pok1,PO,4.39 (1.29),-2.18 (1.79),0.07 (0.15),0.14 (0.21)
X1_verbalni_pamet_a_uceni_pok1,ŘO,4.20 (0.82),-0.54 (1.09),0.12 (0.09),-0.07 (0.12)
X1_verbalni_pamet_a_uceni_pok1,POČ,0.89 (1.77),-1.45 (2.38),0.53 (0.23),0.06 (0.30)
X1_verbalni_pamet_a_uceni_pok1,KOS,0.44 (1.60),3.62 (1.92),0.66 (0.21),-0.66 (0.25)
X1_verbalni_pamet_a_uceni_pok1,SLO,2.80 (1.67),0.34 (2.35),0.31 (0.21),-0.19 (0.29)
X1_verbalni_pamet_a_uceni_pok1,POR,0.11 (1.24),2.73 (1.65),0.72 (0.15),-0.56 (0.20)
X1_verbalni_pamet_a_uceni_pok2,DO,3.48 (1.87),4.92 (2.53),0.50 (0.22),-0.77 (0.30)
X1_verbalni_pamet_a_uceni_pok2,VE,4.50 (2.91),-3.77 (4.12),0.38 (0.34),0.25 (0.48)
X1_verbalni_pamet_a_uceni_pok2,KOD,4.01 (1.39),-0.13 (1.82),0.45 (0.17),-0.15 (0.22)
X1_verbalni_pamet_a_uceni_pok2,PO,7.46 (1.85),-3.77 (2.56),0.01 (0.22),0.29 (0.30)
X1_verbalni_pamet_a_uceni_pok2,ŘO,5.37 (1.25),-0.77 (1.65),0.26 (0.13),-0.08 (0.18)
X1_verbalni_pamet_a_uceni_pok2,POČ,3.65 (2.63),-3.78 (3.53),0.46 (0.34),0.37 (0.45)
X1_verbalni_pamet_a_uceni_pok2,KOS,3.21 (2.10),4.37 (2.53),0.52 (0.27),-0.72 (0.33)
X1_verbalni_pamet_a_uceni_pok2,SLO,2.98 (2.44),1.47 (3.45),0.57 (0.30),-0.35 (0.43)
X1_verbalni_pamet_a_uceni_pok2,POR,2.63 (1.62),2.07 (2.16),0.68 (0.20),-0.49 (0.26)
X1_verbalni_pamet_a_uceni_pok3,DO,4.84 (1.99),4.71 (2.69),0.50 (0.24),-0.75 (0.32)
X1_verbalni_pamet_a_uceni_pok3,VE,4.15 (3.77),-3.48 (5.36),0.56 (0.44),0.24 (0.62)
X1_verbalni_pamet_a_uceni_pok3,KOD,3.50 (1.62),1.87 (2.12),0.61 (0.19),-0.33 (0.25)
X1_verbalni_pamet_a_uceni_pok3,PO,5.15 (2.38),-3.95 (3.30),0.47 (0.28),0.28 (0.38)
X1_verbalni_pamet_a_uceni_pok3,ŘO,5.25 (1.53),1.46 (2.02),0.40 (0.16),-0.30 (0.22)
