outcome,match,p_breusch_pagan,heteroscedasticity,n_cook,p_shapiro_wilk,nonnormality,p_durbin_watson,autocorrelation
X1_verbalni_pamet_a_uceni_pok1,DO,.182,,0,.288,,.450,
X1_verbalni_pamet_a_uceni_pok1,VE,.005,*,0,.458,,.778,
X1_verbalni_pamet_a_uceni_pok1,KOD,.021,*,0,.077,,.818,
X1_verbalni_pamet_a_uceni_pok1,PO,.333,,0,.170,,.694,
X1_verbalni_pamet_a_uceni_pok1,ŘO,.416,,0,.069,,.748,
X1_verbalni_pamet_a_uceni_pok1,POČ,.093,,0,.241,,.016,*
X1_verbalni_pamet_a_uceni_pok1,KOS,.052,,0,.312,,.042,*
X1_verbalni_pamet_a_uceni_pok1,SLO,.108,,0,.363,,.822,
X1_verbalni_pamet_a_uceni_pok1,POR,.041,*,0,.369,,.750,
X1_verbalni_pamet_a_uceni_pok2,DO,.181,,0,.256,,.154,
X1_verbalni_pamet_a_uceni_pok2,VE,.395,,0,.183,,.498,
X1_verbalni_pamet_a_uceni_pok2,KOD,.232,,0,.198,,.348,
X1_verbalni_pamet_a_uceni_pok2,PO,.787,,0,.460,,.966,
X1_verbalni_pamet_a_uceni_pok2,ŘO,.468,,0,.468,,.052,
X1_verbalni_pamet_a_uceni_pok2,POČ,.687,,0,.261,,.464,
X1_verbalni_pamet_a_uceni_pok2,KOS,.587,,0,.583,,.800,
X1_verbalni_pamet_a_uceni_pok2,SLO,.233,,0,.250,,.406,
X1_verbalni_pamet_a_uceni_pok2,POR,.955,,0,.502,,.974,
X1_verbalni_pamet_a_uceni_pok3,DO,.408,,1,.582,,.020,*
X1_verbalni_pamet_a_uceni_pok3,VE,.457,,0,.881,,.552,
X1_verbalni_pamet_a_uceni_pok3,KOD,.476,,0,.162,,.056,
X1_verbalni_pamet_a_uceni_pok3,PO,.714,,0,.234,,.806,
X1_verbalni_pamet_a_uceni_pok3,ŘO,.764,,0,.445,,.774,
X1_verbalni_pamet_a_uceni_pok3,POČ,.951,,0,.045,*,.730,
X1_verbalni_pamet_a_uceni_pok3,KOS,.997,,0,.565,,.152,
X1_verbalni_pamet_a_uceni_pok3,SLO,.157,,0,.572,,.406,
X1_verbalni_pamet_a_uceni_pok3,POR,.686,,0,.266,,.302,
X1_verbalni_pamet_a_uceni_pok4,DO,.524,,0,.025,*,.034,*
X1_verbalni_pamet_a_uceni_pok4,VE,.806,,0,.502,,.376,
X1_verbalni_pamet_a_uceni_pok4,KOD,.703,,0,.297,,.260,
X1_verbalni_pamet_a_uceni_pok4,PO,.063,,0,.197,,.126,
X1_verbalni_pamet_a_uceni_pok4,ŘO,.416,,0,.178,,.338,
X1_verbalni_pamet_a_uceni_pok4,POČ,.899,,0,.017,*,.482,
X1_verbalni_pamet_a_uceni_pok4,KOS,.211,,0,.187,,.296,
X1_verbalni_pamet_a_uceni_pok4,SLO,.813,,0,.055,,.588,
X1_verbalni_pamet_a_uceni_pok4,POR,.338,,0,.033,*,.780,
X1_verbalni_pamet_a_uceni_pok_1.4,DO,.949,,0,.225,,.006,*
X1_verbalni_pamet_a_uceni_pok_1.4,VE,.373,,0,.911,,.594,
X1_verbalni_pamet_a_uceni_pok_1.4,KOD,.660,,0,.499,,.068,
X1_verbalni_pamet_a_uceni_pok_1.4,PO,.635,,0,.552,,.446,
X1_verbalni_pamet_a_uceni_pok_1.4,ŘO,.547,,0,.236,,.676,
X1_verbalni_pamet_a_uceni_pok_1.4,POČ,.849,,0,.113,,.848,
X1_verbalni_pamet_a_uceni_pok_1.4,KOS,.820,,0,.176,,.114,
X1_verbalni_pamet_a_uceni_pok_1.4,SLO,.282,,0,.276,,.626,
X1_verbalni_pamet_a_uceni_pok_1.4,POR,.808,,0,.258,,.528,
X1_verbalni_pamet_a_uceni_opak_1.4,DO,.777,,1,< .001,*,.694,
X1_verbalni_pamet_a_uceni_opak_1.4,VE,.666,,0,< .001,*,.338,
X1_verbalni_pamet_a_uceni_opak_1.4,KOD,.107,,0,< .001,*,.640,
X1_verbalni_pamet_a_uceni_opak_1.4,PO,.217,,0,.001,*,.814,
X1_verbalni_pamet_a_uceni_opak_1.4,ŘO,.136,,0,< .001,*,.446,
X1_verbalni_pamet_a_uceni_opak_1.4,POČ,.057,,0,.002,*,.340,
X1_verbalni_pamet_a_uceni_opak_1.4,KOS,.246,,0,< .001,*,.600,
X1_verbalni_pamet_a_uceni_opak_1.4,SLO,.012,*,0,.005,*,1.000,
X1_verbalni_pamet_a_uceni_opak_1.4,POR,.032,*,0,< .001,*,.678,
X1_verbalni_pamet_a_uceni_konfab_1.4,DO,.111,,1,< .001,*,.608,
X1_verbalni_pamet_a_uceni_konfab_1.4,VE,.295,,0,< .001,*,.452,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOD,.107,,0,< .001,*,.478,
X1_verbalni_pamet_a_uceni_konfab_1.4,PO,.006,*,0,< .001,*,.512,
X1_verbalni_pamet_a_uceni_konfab_1.4,ŘO,.025,*,0,< .001,*,.714,
X1_verbalni_pamet_a_uceni_konfab_1.4,POČ,.359,,0,< .001,*,.810,
X1_verbalni_pamet_a_uceni_konfab_1.4,KOS,.774,,0,< .001,*,.254,
X1_verbalni_pamet_a_uceni_konfab_1.4,SLO,.699,,0,< .001,*,.474,
X1_verbalni_pamet_a_uceni_konfab_1.4,POR,.944,,0,< .001,*,.410,
X1_verbalni_pamet_a_uceni_pok5,DO,.002,*,1,.016,*,.728,
X1_verbalni_pamet_a_uceni_pok5,VE,.307,,0,.048,*,.722,
X1_verbalni_pamet_a_uceni_pok5,KOD,.648,,0,.207,,.326,
X1_verbalni_pamet_a_uceni_pok5,PO,.856,,0,.146,,.698,
X1_verbalni_pamet_a_uceni_pok5,ŘO,.192,,0,.192,,.798,
X1_verbalni_pamet_a_uceni_pok5,POČ,.788,,0,.439,,.574,
X1_verbalni_pamet_a_uceni_pok5,KOS,.252,,0,.174,,.538,
X1_verbalni_pamet_a_uceni_pok5,SLO,.381,,0,.232,,.566,
X1_verbalni_pamet_a_uceni_pok5,POR,< .001,*,1,.006,*,.784,
X1_verbalni_pamet_a_uceni_pok6,DO,.929,,0,.060,,.588,
X1_verbalni_pamet_a_uceni_pok6,VE,.710,,0,.664,,.828,
X1_verbalni_pamet_a_uceni_pok6,KOD,.251,,0,.024,*,.106,
X1_verbalni_pamet_a_uceni_pok6,PO,.935,,0,.421,,.452,
X1_verbalni_pamet_a_uceni_pok6,ŘO,.683,,0,.316,,.592,
X1_verbalni_pamet_a_uceni_pok6,POČ,.779,,0,.081,,.790,
X1_verbalni_pamet_a_uceni_pok6,KOS,.934,,0,.169,,.518,
X1_verbalni_pamet_a_uceni_pok6,SLO,.475,,0,.121,,.484,
X1_verbalni_pamet_a_uceni_pok6,POR,.962,,0,.242,,.816,
X1_verbalni_pamet_a_uceni_pok7,DO,.292,,0,.292,,.266,
