outcome,match,parameter,b (SE),t,p,sig,sig_fwer
X1_verbalni_pamet_a_uceni_pok1,DO,(Intercept),1.34 (1.22),,,,
X1_verbalni_pamet_a_uceni_pok1,DO,MR,4.42 (1.65),2.681,.010,*,
X1_verbalni_pamet_a_uceni_pok1,DO,mental_age,0.49 (0.15),3.344,.002,*,
X1_verbalni_pamet_a_uceni_pok1,DO,MR:mental_age,-0.70 (0.20),-3.546,< .001,*,
X1_verbalni_pamet_a_uceni_pok1,VE,(Intercept),6.22 (2.20),,,,
X1_verbalni_pamet_a_uceni_pok1,VE,MR,-4.46 (3.12),-1.429,.159,,
X1_verbalni_pamet_a_uceni_pok1,VE,mental_age,-0.13 (0.25),-0.494,.623,,
X1_verbalni_pamet_a_uceni_pok1,VE,MR:mental_age,0.39 (0.36),1.084,.283,,
X1_verbalni_pamet_a_uceni_pok1,KOD,(Intercept),3.06 (1.05),,,,
X1_verbalni_pamet_a_uceni_pok1,KOD,MR,-0.38 (1.38),-0.279,.781,,
X1_verbalni_pamet_a_uceni_pok1,KOD,mental_age,0.31 (0.12),2.472,.017,*,
X1_verbalni_pamet_a_uceni_pok1,KOD,MR:mental_age,-0.13 (0.17),-0.808,.423,,
X1_verbalni_pamet_a_uceni_pok1,PO,(Intercept),4.39 (1.29),,,,
X1_verbalni_pamet_a_uceni_pok1,PO,MR,-2.18 (1.79),-1.219,.228,,
X1_verbalni_pamet_a_uceni_pok1,PO,mental_age,0.07 (0.15),0.478,.635,,
X1_verbalni_pamet_a_uceni_pok1,PO,MR:mental_age,0.14 (0.21),0.695,.490,,
X1_verbalni_pamet_a_uceni_pok1,ŘO,(Intercept),4.20 (0.82),,,,
X1_verbalni_pamet_a_uceni_pok1,ŘO,MR,-0.54 (1.09),-0.500,.619,,
X1_verbalni_pamet_a_uceni_pok1,ŘO,mental_age,0.12 (0.09),1.339,.186,,
X1_verbalni_pamet_a_uceni_pok1,ŘO,MR:mental_age,-0.07 (0.12),-0.627,.533,,
X1_verbalni_pamet_a_uceni_pok1,POČ,(Intercept),0.89 (1.77),,,,
X1_verbalni_pamet_a_uceni_pok1,POČ,MR,-1.45 (2.38),-0.609,.545,,
X1_verbalni_pamet_a_uceni_pok1,POČ,mental_age,0.53 (0.23),2.358,.022,*,
X1_verbalni_pamet_a_uceni_pok1,POČ,MR:mental_age,0.06 (0.30),0.209,.836,,
X1_verbalni_pamet_a_uceni_pok1,KOS,(Intercept),0.44 (1.60),,,,
X1_verbalni_pamet_a_uceni_pok1,KOS,MR,3.62 (1.92),1.882,.066,,
X1_verbalni_pamet_a_uceni_pok1,KOS,mental_age,0.66 (0.21),3.195,.002,*,
X1_verbalni_pamet_a_uceni_pok1,KOS,MR:mental_age,-0.66 (0.25),-2.634,.011,*,
X1_verbalni_pamet_a_uceni_pok1,SLO,(Intercept),2.80 (1.67),,,,
X1_verbalni_pamet_a_uceni_pok1,SLO,MR,0.34 (2.35),0.143,.887,,
X1_verbalni_pamet_a_uceni_pok1,SLO,mental_age,0.31 (0.21),1.491,.142,,
X1_verbalni_pamet_a_uceni_pok1,SLO,MR:mental_age,-0.19 (0.29),-0.667,.508,,
X1_verbalni_pamet_a_uceni_pok1,POR,(Intercept),0.11 (1.24),,,,
X1_verbalni_pamet_a_uceni_pok1,POR,MR,2.73 (1.65),1.652,.105,,
X1_verbalni_pamet_a_uceni_pok1,POR,mental_age,0.72 (0.15),4.764,< .001,*,*
X1_verbalni_pamet_a_uceni_pok1,POR,MR:mental_age,-0.56 (0.20),-2.794,.007,*,
X1_verbalni_pamet_a_uceni_pok2,DO,(Intercept),3.48 (1.87),,,,
X1_verbalni_pamet_a_uceni_pok2,DO,MR,4.92 (2.53),1.945,.057,,
X1_verbalni_pamet_a_uceni_pok2,DO,mental_age,0.50 (0.22),2.221,.031,*,
X1_verbalni_pamet_a_uceni_pok2,DO,MR:mental_age,-0.77 (0.30),-2.546,.014,*,
X1_verbalni_pamet_a_uceni_pok2,VE,(Intercept),4.50 (2.91),,,,
X1_verbalni_pamet_a_uceni_pok2,VE,MR,-3.77 (4.12),-0.915,.364,,
X1_verbalni_pamet_a_uceni_pok2,VE,mental_age,0.38 (0.34),1.142,.259,,
X1_verbalni_pamet_a_uceni_pok2,VE,MR:mental_age,0.25 (0.48),0.531,.598,,
X1_verbalni_pamet_a_uceni_pok2,KOD,(Intercept),4.01 (1.39),,,,
X1_verbalni_pamet_a_uceni_pok2,KOD,MR,-0.13 (1.82),-0.073,.942,,
X1_verbalni_pamet_a_uceni_pok2,KOD,mental_age,0.45 (0.17),2.708,.009,*,
X1_verbalni_pamet_a_uceni_pok2,KOD,MR:mental_age,-0.15 (0.22),-0.688,.494,,
X1_verbalni_pamet_a_uceni_pok2,PO,(Intercept),7.46 (1.85),,,,
X1_verbalni_pamet_a_uceni_pok2,PO,MR,-3.77 (2.56),-1.470,.148,,
X1_verbalni_pamet_a_uceni_pok2,PO,mental_age,0.01 (0.22),0.044,.965,,
X1_verbalni_pamet_a_uceni_pok2,PO,MR:mental_age,0.29 (0.30),0.959,.342,,
X1_verbalni_pamet_a_uceni_pok2,ŘO,(Intercept),5.37 (1.25),,,,
X1_verbalni_pamet_a_uceni_pok2,ŘO,MR,-0.77 (1.65),-0.466,.643,,
X1_verbalni_pamet_a_uceni_pok2,ŘO,mental_age,0.26 (0.13),2.000,.051,,
X1_verbalni_pamet_a_uceni_pok2,ŘO,MR:mental_age,-0.08 (0.18),-0.466,.643,,
X1_verbalni_pamet_a_uceni_pok2,POČ,(Intercept),3.65 (2.63),,,,
X1_verbalni_pamet_a_uceni_pok2,POČ,MR,-3.78 (3.53),-1.071,.289,,
X1_verbalni_pamet_a_uceni_pok2,POČ,mental_age,0.46 (0.34),1.354,.182,,
X1_verbalni_pamet_a_uceni_pok2,POČ,MR:mental_age,0.37 (0.45),0.810,.421,,
X1_verbalni_pamet_a_uceni_pok2,KOS,(Intercept),3.21 (2.10),,,,
X1_verbalni_pamet_a_uceni_pok2,KOS,MR,4.37 (2.53),1.727,.090,,
X1_verbalni_pamet_a_uceni_pok2,KOS,mental_age,0.52 (0.27),1.922,.060,,
X1_verbalni_pamet_a_uceni_pok2,KOS,MR:mental_age,-0.72 (0.33),-2.161,.035,*,
